"Kategori [Category]";"Produkt [Product]";"Sorteringsordning för produkter i en kategori [Position]";"Sorteringsordning för en produkts kategorier [PositionCategory]"
Categories/Lackpaket/Metallic_124_Pearllack;9011S;10;20
Categories/Lackpaket/Metallic_124_Pearllack;9011;20;30
Categories/Lackpaket/Metallic_124_Pearllack;9001S;30;10
Categories/Lackpaket/Metallic_124_Pearllack;9001;40;20
Categories/Lackpaket/Metallic_124_Pearllack;9004S;50;10
Categories/Lackpaket/Metallic_124_Pearllack;9004;60;20
Categories/Lackpaket/Metallic_124_Pearllack;profix_aqua_paketti;70;10
Categories/Lackpaket/Metallic_124_Pearllack;7777;80;10
Categories/Lackpaket/Metallic_124_Pearllack;9007;90;20
Categories/Lackpaket/Metallic_124_Pearllack;megapaket;100;10
Categories/Lackpaket/Akrylfärg;9014;10;20
Categories/Lackpaket/Akrylfärg;9002;20;10
Categories/Lackpaket/Akrylfärg;9010;30;10
Categories/Lackpaket/Akrylfärg;9010Winter;40;20
Categories/Lackpaket/Akrylfärg;9003;50;10
Categories/Lackpaket/Akrylfärg;9003Winter;60;20
Categories/Lackpaket/Akrylfärg;9005;70;10
Categories/Lackpaket/Akrylfärg;9005Winter;80;20
Categories/Lackpaket/Akrylfärg;superblack;90;20
Categories/Lackpaket/Akrylfärg;MipaMatta25;100;10
Categories/Lackpaket/Akrylfärg;mipamatta;110;10
Categories/Lackpaket/Akrylfärg;superwhite;120;10
Categories/Lackpaket/Akrylfärg;Superred;130;20
Categories/Lackpaket/Akrylfärg;superblue;140;10
Categories/Lackpaket/Akrylfärg;supergrey;150;10
Categories/Lackpaket/Akrylfärg;supergreen;160;10
Categories/Lackpaket/Akrylfärg;profixacryl;170;10
Categories/Lackpaket/Akrylfärg;hr040-lv;180;9999
Categories/Lackpaket/Klarlack;2010;10;10
Categories/Lackpaket/Klarlack;ultrafast;20;10
Categories/Lackpaket/Klarlack;6301;30;9999
Categories/Lackpaket/Klarlack;14949-14951;40;30
Categories/Lackpaket/Klarlack;13090;50;10
Categories/Lackpaket/Klarlack;2238;60;10
Categories/Lackpaket/Klarlack;trotonclearcoat;70;9999
Categories/Lackpaket/Klarlack;2239;80;20
Categories/Lackpaket/Klarlack;13086;90;9999
Categories/Lackpaket/Klarlack;clearcoattroton;100;20
Categories/Lackpaket/Klarlack;13088;110;9999
Categories/Lackpaket/Klarlack;840051-28-116;120;9999
Categories/Lackpaket/Klarlack;cp2016;130;9999
Categories/Lackpaket/Klarlack;260420000;140;10
Categories/Lackpaket/Klarlack;1962-1477;150;20
